Team,Charm Name,Repository,Branch (if not the default),Source
openstack-charmers,charm-hacluster,https://git.launchpad.net/charm-hacluster,,auto-discover
openstack-charmers,charm-heat,https://git.launchpad.net/charm-heat,,auto-discover
openstack-charmers,charm-infinidat-tools,https://git.launchpad.net/charm-infinidat-tools,,auto-discover
openstack-charmers,charm-ironic-api,https://git.launchpad.net/charm-ironic-api,,auto-discover
openstack-charmers,charm-ironic-conductor,https://git.launchpad.net/charm-ironic-conductor,,auto-discover
openstack-charmers,charm-ironic-dashboard,https://git.launchpad.net/charm-ironic-dashboard,,auto-discover
openstack-charmers,charm-keystone,https://git.launchpad.net/charm-keystone,,auto-discover
openstack-charmers,charm-keystone-kerberos,https://git.launchpad.net/charm-keystone-kerberos,,auto-discover
openstack-charmers,charm-keystone-ldap,https://git.launchpad.net/charm-keystone-ldap,,auto-discover
openstack-charmers,charm-keystone-openidc,https://git.launchpad.net/charm-keystone-openidc,,auto-discover
openstack-charmers,charm-keystone-saml-mellon,https://git.launchpad.net/charm-keystone-saml-mellon,,auto-discover
openstack-charmers,charm-magnum,https://git.launchpad.net/charm-magnum,,auto-discover
openstack-charmers,charm-magnum-dashboard,https://git.launchpad.net/charm-magnum-dashboard,,auto-discover
openstack-charmers,charm-magpie,https://git.launchpad.net/charm-magpie,,auto-discover
openstack-charmers,charm-manila,https://git.launchpad.net/charm-manila,,auto-discover
openstack-charmers,charm-manila-dashboard,https://git.launchpad.net/charm-manila-dashboard,,auto-discover
openstack-charmers,charm-manila-ganesha,https://git.launchpad.net/charm-manila-ganesha,,auto-discover
openstack-charmers,charm-manila-generic,https://git.launchpad.net/charm-manila-generic,,auto-discover
openstack-charmers,charm-manila-infinidat,https://git.launchpad.net/charm-manila-infinidat,,auto-discover
openstack-charmers,charm-manila-netapp,https://git.launchpad.net/charm-manila-netapp,,auto-discover
openstack-charmers,charm-masakari,https://git.launchpad.net/charm-masakari,,auto-discover
openstack-charmers,charm-masakari-monitors,https://git.launchpad.net/charm-masakari-monitors,,auto-discover
openstack-charmers,charm-microceph,https://git.launchpad.net/charm-microceph,,auto-discover
openstack-charmers,charm-mysql-innodb-cluster,https://git.launchpad.net/charm-mysql-innodb-cluster,,auto-discover
openstack-charmers,charm-neutron-api,https://git.launchpad.net/charm-neutron-api,,auto-discover
openstack-charmers,charm-neutron-api-plugin-arista,https://git.launchpad.net/charm-neutron-api-plugin-arista,,auto-discover
openstack-charmers,charm-neutron-api-plugin-ironic,https://git.launchpad.net/charm-neutron-api-plugin-ironic,,auto-discover
openstack-charmers,charm-neutron-api-plugin-ovn,https://git.launchpad.net/charm-neutron-api-plugin-ovn,,auto-discover
openstack-charmers,charm-neutron-dynamic-routing,https://git.launchpad.net/charm-neutron-dynamic-routing,,auto-discover
openstack-charmers,charm-neutron-gateway,https://git.launchpad.net/charm-neutron-gateway,,auto-discover
openstack-charmers,charm-neutron-openvswitch,https://git.launchpad.net/charm-neutron-openvswitch,,auto-discover
openstack-charmers,charm-nova-cell-controller,https://git.launchpad.net/charm-nova-cell-controller,,auto-discover
openstack-charmers,charm-nova-cloud-controller,https://git.launchpad.net/charm-nova-cloud-controller,,auto-discover
openstack-charmers,charm-nova-compute,https://git.launchpad.net/charm-nova-compute,,auto-discover
openstack-charmers,charm-nova-compute-nvidia-vgpu,https://git.launchpad.net/charm-nova-compute-nvidia-vgpu,,auto-discover
openstack-charmers,charm-octavia,https://git.launchpad.net/charm-octavia,,auto-discover
openstack-charmers,charm-octavia-dashboard,https://git.launchpad.net/charm-octavia-dashboard,,auto-discover
openstack-charmers,charm-octavia-diskimage-retrofit,https://git.launchpad.net/charm-octavia-diskimage-retrofit,,auto-discover
openstack-charmers,charm-openidc-test-fixture,https://git.launchpad.net/charm-openidc-test-fixture,,auto-discover
openstack-charmers,charm-openstack-dashboard,https://git.launchpad.net/charm-openstack-dashboard,,auto-discover
openstack-charmers,charm-openstack-loadbalancer,https://git.launchpad.net/charm-openstack-loadbalancer,,auto-discover
openstack-charmers,charm-pacemaker-remote,https://git.launchpad.net/charm-pacemaker-remote,,auto-discover
openstack-charmers,charm-percona-cluster,https://git.launchpad.net/charm-percona-cluster,,auto-discover
openstack-charmers,charm-placement,https://git.launchpad.net/charm-placement,,auto-discover
openstack-charmers,charm-rabbitmq-server,https://git.launchpad.net/charm-rabbitmq-server,,auto-discover
openstack-charmers,charm-swift-proxy,https://git.launchpad.net/charm-swift-proxy,,auto-discover
openstack-charmers,charm-swift-storage,https://git.launchpad.net/charm-swift-storage,,auto-discover
openstack-charmers,charm-trilio-data-mover,https://git.launchpad.net/charm-trilio-data-mover,,auto-discover
openstack-charmers,charm-trilio-dm-api,https://git.launchpad.net/charm-trilio-dm-api,,auto-discover
openstack-charmers,charm-trilio-horizon-plugin,https://git.launchpad.net/charm-trilio-horizon-plugin,,auto-discover
openstack-charmers,charm-trilio-wlm,https://git.launchpad.net/charm-trilio-wlm,,auto-discover
openstack-charmers,charm-watcher,https://git.launchpad.net/charm-watcher,,auto-discover
openstack-charmers,charm-watcher-dashboard,https://git.launchpad.net/charm-watcher-dashboard,,auto-discover
openstack-charmers,charm-woodpecker,https://git.launchpad.net/charm-woodpecker,,auto-discover
openstack-charmers,hardening-apache-tests,https://git.launchpad.net/~openstack-charmers/charms/+source/hardening-apache-tests,,auto-discover
openstack-charmers,hardening-apache-tests-charm,https://git.launchpad.net/~openstack-charmers/charms/+source/hardening-apache-tests-charm,,auto-discover
openstack-charmers,hardening-mysql-tests,https://git.launchpad.net/~openstack-charmers/charms/+source/hardening-mysql-tests,,auto-discover
openstack-charmers,hardening-mysql-tests-charm,https://git.launchpad.net/~openstack-charmers/charms/+source/hardening-mysql-tests-charm,,auto-discover
openstack-charmers,hardening-os-tests,https://git.launchpad.net/~openstack-charmers/charms/+source/hardening-os-tests,,auto-discover
openstack-charmers,hardening-os-tests-charm,https://git.launchpad.net/~openstack-charmers/charms/+source/hardening-os-tests-charm,,auto-discover
openstack-charmers,hardening-ssh-tests,https://git.launchpad.net/~openstack-charmers/charms/+source/hardening-ssh-tests,,auto-discover
openstack-charmers,hardening-ssh-tests-charm,https://git.launchpad.net/~openstack-charmers/charms/+source/hardening-ssh-tests-charm,,auto-discover
openstack-charmers,layer-openstack-api,https://git.launchpad.net/~openstack-charmers/charms/+source/layer-openstack-api,,auto-discover
